Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15954074,40,,RB_TW070,ZF2,"116,800.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CG8013,"1,600.00",KG,,Posted in FI,L,06.08.2018,M
RB15953642,10,,RB_TW070,ZF2,"31,200.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CF8031,400,KG,,Posted in FI,L,24.07.2018,M
RB15953642,20,,RB_TW070,ZF2,"38,400.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CF8005,400,KG,,Posted in FI,L,24.07.2018,M
RB15953641,10,,RB_TW070,ZF2,"90,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CF8029,"1,200.00",KG,,Posted in FI,L,24.07.2018,M
RB15953641,20,,RB_TW070,ZF2,"61,200.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CE8003,600,KG,,Posted in FI,L,24.07.2018,M
RB15953532,10,,RB_TW070,ZF2,"46,800.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CF8031,600,KG,,Posted in FI,L,20.07.2018,M
RB15953532,20,,RB_TW070,ZF2,"135,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR2865EH-DR000200,U-VAN 28-65EHT,,RB11,CD8001,"1,000.00",KG,,Posted in FI,L,20.07.2018,M
RB15953532,30,,RB_TW070,ZF2,"73,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8012,"1,000.00",KG,,Posted in FI,L,20.07.2018,M
RB15953532,40,,RB_TW070,ZF2,"38,400.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CF8005,400,KG,,Posted in FI,L,20.07.2018,M
RB15953532,50,,RB_TW070,ZF2,"129,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CG8005,"1,000.00",KG,,Posted in FI,L,20.07.2018,M
RB15953385,10,,RB_TW070,ZF2,"79,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CE8004,"1,000.00",KG,,Posted in FI,L,17.07.2018,M
RB15953385,20,,RB_TW070,ZF2,"98,400.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR225000-DR000200,U-VAN 225,,RB11,CF8005,"1,200.00",KG,,Posted in FI,L,17.07.2018,M
RB15953385,30,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CF8029,"1,000.00",KG,,Posted in FI,L,17.07.2018,M
RB15953385,40,,RB_TW070,ZF2,"73,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8012,"1,000.00",KG,,Posted in FI,L,17.07.2018,M
RB15953385,51,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CF8004,0,KG,,Posted in FI,L,17.07.2018,M
