Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15961162,10,,RB_TW070,ZF2,"21,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CA9001,200,KG,,Posted in FI,L,08.03.2019,M
RB15961162,20,,RB_TW070,ZF2,"26,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CA9001,200,KG,,Posted in FI,L,08.03.2019,M
RB15961160,10,,RB_TW070,ZF2,"302,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,CB9001,"2,400.00",KG,,Posted in FI,L,08.03.2019,M
RB15961111,30,,RB_MS028,L2,"1,800.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENGAL9009-DR000100,ALMATEX-A-9009,,RB11,,600,KG,,Posted in FI,A,06.03.2019,P
RB15961109,30,,RB_MS028,L2,300,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENGAL9009-DR000100,ALMATEX-A-9009,,RB11,,100,KG,,Posted in FI,A,06.03.2019,P
RB15961104,30,,RB_MS028,L2,900,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENGAL9009-DR000100,ALMATEX-A-9009,,RB11,,300,KG,,Posted in FI,A,06.03.2019,P
RB15961103,10,,RB_MS028,L2,"2,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENGAL9009-DR000100,ALMATEX-A-9009,,RB11,,800,KG,,Posted in FI,A,06.03.2019,P
RB15961065,10,,RB_TW070,ZF2,"129,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CB9002,"1,600.00",KG,,Posted in FI,L,06.03.2019,M
RB15961065,20,,RB_TW070,ZF2,"47,400.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENF787000-DR000200,ALMATEX 787,,RB11,CA9001,600,KG,,Posted in FI,L,06.03.2019,M
RB15960959,10,,RB_TW070,ZF2,"201,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,,"1,600.00",KG,,Posted in FI,L,04.03.2019,M
RB15960959,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,CM8006,0,KG,,Posted in FI,L,04.03.2019,M
RB15960959,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFC20100-DR000200,ALMATEX C201,,RB11,CB9001,0,KG,,Posted in FI,L,04.03.2019,M
RB15960959,20,,RB_TW070,ZF2,"36,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFP64600-DR000200,ALMATEX P646,,RB11,,400,KG,,Posted in FI,L,04.03.2019,M
RB15960959,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENFP64600-DR000200,ALMATEX P646,,RB11,CL8002,0,KG,,Posted in FI,L,04.03.2019,M
RB15960865,10,,RB_TW070,Z1,"60,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CB9003,800,KG,,Posted in FI,L,01.03.2019,M
RB15960865,20,,RB_TW070,Z1,"132,600.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CB9003,"1,200.00",KG,,Posted in FI,L,01.03.2019,M
RB15960865,30,,RB_TW070,Z1,"33,000.00",THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENGAL9009-DR000100,ALMATEX-A-9009,,RB11,CB9005,600,KG,,Posted in FI,L,01.03.2019,M
