Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013429,บริษัท ลิกซิล (ประเทศไทย) จำกั,5300135718,RB15971546,2020-02-01,MR. PRAMOTE R.,02/2020,2020-04-01,1.00000,THB,74151.00,THB,74151.00,74151.00,0.00,0.00,0.00,0.00,1000216802,,RB1
BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล,-,RB15971547,2020-02-01,MR.JARUWAT SINGTO,02/2020,2020-05-31,1.00000,THB,95230.00,THB,95230.00,95230.00,0.00,0.00,0.00,0.00,1000216790,,
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300140,RB15971548,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-31,1.00000,THB,38252.50,THB,38252.50,38252.50,0.00,0.00,0.00,0.00,1000216758,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300142,RB15971549,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-31,1.00000,THB,44940.00,THB,44940.00,44940.00,0.00,0.00,0.00,0.00,1000216757,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300141,RB15971550,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-31,1.00000,THB,47748.75,THB,47748.75,47748.75,0.00,0.00,0.00,0.00,1000216756,,RB1
BG00013151,บริษัท วี.เอส.วี. เพนท์ แอนด์,630140,RB15971552,2020-02-01,MR.JARUWAT SINGTO,02/2020,2020-05-01,1.00000,THB,155620.80,THB,155620.80,155620.80,0.00,0.00,0.00,0.00,1000216695,,RB1
BG00020042,บริษัท เคไอเจ มาร์เก็ตติ้ง จำก,POKIJ200092,RB15971553,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-01,1.00000,THB,362730.00,THB,362730.00,362730.00,0.00,0.00,0.00,0.00,1000216495,,
BG00012958,บริษัท ลีน่า (ประเทศไทย) จำกัด,PO0002605,RB15971554,2020-02-01,MR. SONGTHAM C.,02/2020,2020-05-01,1.00000,THB,48364.00,THB,48364.00,48364.00,0.00,0.00,0.00,0.00,1000216414,,RB1
BG00012072,บริษัท พรีเมียร์ โพรดักส์ จำกั,19002335/OP,RB15971555,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-01,1.00000,THB,529650.00,THB,529650.00,529650.00,0.00,0.00,0.00,0.00,1000213576,,RB1
BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล,-,RB15971556,2020-02-01,MR.JARUWAT SINGTO,02/2020,2020-05-31,1.00000,THB,40660.00,THB,40660.00,40660.00,0.00,0.00,0.00,0.00,1000216990,,
BG00016443,บริษัท เรซิ่นเอเชีย จำกัด,-,RB15971557,2020-02-01,MR. PRAMOTE R.,02/2020,2020-04-01,1.00000,THB,293608.00,THB,293608.00,293608.00,0.00,0.00,0.00,0.00,1000216986,,
BG00013079,เทนโช อินดัสเตรียล,-,RB15971558,2020-02-01,MR. PRAMOTE R.,02/2020,2020-04-01,1.00000,THB,45903.00,THB,45903.00,45903.00,0.00,0.00,0.00,0.00,1000217030,,
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,20L01696,RB15971559,2020-02-01,MR. WICHANCHAI  S.,02/2020,2020-04-01,1.00000,THB,55147.80,THB,55147.80,55147.80,0.00,0.00,0.00,0.00,1000217058,,RB1
BG00013439,บริษัท ฟิกส์เวลล์ จำกัด,PO6301/040,RB15971560,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-01,1.00000,THB,55640.00,THB,55640.00,55640.00,0.00,0.00,0.00,0.00,1000217004,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,63/0138,RB15971561,2020-02-01,TAKDANAI Y.,02/2020,2020-04-01,1.00000,THB,98611.20,THB,98611.20,98611.20,0.00,0.00,0.00,0.00,1000217034,,RB1
BG00013494,บริษัท วู้ดเวอร์ค ไซโตะ จำกัด,PO63012035,RB15971562,2020-02-01,MR. PRAMOTE R.,02/2020,2020-03-02,1.00000,THB,43870.00,THB,43870.00,43870.00,0.00,0.00,0.00,0.00,1000217051,,
BG00013522,บริษัท พูนทวีทรัพย์ เพ้นท์ จำก,-,RB15971563,2020-02-01,MR.JARUWAT SINGTO,02/2020,2020-02-01,1.00000,THB,43656.00,THB,43656.00,0.00,43656.00,0.00,0.00,0.00,1000217086,,
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300135,RB15971564,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-31,1.00000,THB,29960.00,THB,29960.00,29960.00,0.00,0.00,0.00,0.00,1000217075,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300134,RB15971565,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-31,1.00000,THB,13562.25,THB,13562.25,13562.25,0.00,0.00,0.00,0.00,1000217074,,RB1
BG00012069,บริษัท เอ็มเค โพลีเอสเตอร์เรซิ,-,RB15971566,2020-02-01,MR. PRAMOTE R.,02/2020,2020-05-01,1.00000,THB,217959.00,THB,217959.00,217959.00,0.00,0.00,0.00,0.00,1000217050,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2202001479,RB15971567,2020-02-01,MR.PHASAKORN C.,02/2020,2020-04-01,1.00000,THB,117372.28,THB,117372.28,117372.28,0.00,0.00,0.00,0.00,1000215919,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2202001478,RB15971568,2020-02-01,MR.PHASAKORN C.,02/2020,2020-04-01,1.00000,THB,405128.62,THB,405128.62,405128.62,0.00,0.00,0.00,0.00,1000215902,,RB1
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,63-0040,RB15971569,2020-02-01,MR.PHASAKORN C.,02/2020,2020-05-31,1.00000,THB,524300.00,THB,524300.00,524300.00,0.00,0.00,0.00,0.00,1000217098,,RB1
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,63-0042,RB15971570,2020-02-01,MR.PHASAKORN C.,02/2020,2020-05-31,1.00000,THB,182328.00,THB,182328.00,182328.00,0.00,0.00,0.00,0.00,1000217097,,RB1
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,63-0044,RB15971571,2020-02-01,MR.PHASAKORN C.,02/2020,2020-05-31,1.00000,THB,10700.00,THB,10700.00,10700.00,0.00,0.00,0.00,0.00,1000217096,,RB1
BG00013524,บริษัท ซีเอ็นเอ็น แพ็คกิ้ง จำก,PO6301130,RB15971572,2020-02-01,TAKDANAI Y.,02/2020,2020-04-01,1.00000,THB,204926.40,THB,204926.40,204926.40,0.00,0.00,0.00,0.00,1000216999,,RB1
BG00022145,บริษัท ทรัพย์สินเพชร จำกัด,QUO 20-01-048,RB15971573,2020-02-01,MR.PHASAKORN C.,02/2020,2020-04-01,1.00000,THB,143808.00,THB,143808.00,143808.00,0.00,0.00,0.00,0.00,1000216860,,RB1
