Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15958415,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52345,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CL8029,0,KG,,Posted in FI,L,12.12.2018,M
RB15958469,10,,RB_SW027,ZF2,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,,"4,000.00",KG,,Posted in FI,L,12.12.2018,M
RB15958469,11,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CM8022,0,KG,,Posted in FI,L,12.12.2018,M
RB15958469,12,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CM8023,0,KG,,Posted in FI,L,12.12.2018,M
RB15958469,20,,RB_SW027,ZF2,"110,500.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,,"1,000.00",KG,,Posted in FI,L,12.12.2018,M
RB15958469,21,,RB_SW027,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CL8029,0,KG,,Posted in FI,L,12.12.2018,M
RB15958474,10,,RB_TW070,ZF2,"384,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,,"4,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958474,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CL8006,0,KG,,Posted in FI,L,13.12.2018,M
RB15958474,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CM8007,0,KG,,Posted in FI,L,13.12.2018,M
RB15958474,20,,RB_TW070,ZF2,"105,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CL8005,"1,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958475,10,,RB_TW070,ZF2,"81,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CK8007,"1,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958475,20,,RB_TW070,ZF2,"160,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR286000-DR000200,U-VAN 28-60,,RB11,CL8053,"2,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958475,30,,RB_TW070,ZF2,"77,000.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENR48B000-DR000200,U-VAN 48B,,RB11,CL8048,"1,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958475,40,,RB_TW070,ZF2,"343,200.00",THB,RB00,11,TH,,,BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52585,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CL8009,"2,600.00",KG,,Posted in FI,L,13.12.2018,M
RB15958500,10,,RB_TW070,ZF2,"81,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,,"1,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958500,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CK8007,0,KG,,Posted in FI,L,13.12.2018,M
RB15958500,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CM8008,0,KG,,Posted in FI,L,13.12.2018,M
RB15958500,20,,RB_TW070,ZF2,"154,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,,"2,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958500,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CL8049,0,KG,,Posted in FI,L,13.12.2018,M
RB15958500,30,,RB_TW070,ZF2,"192,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,,"2,000.00",KG,,Posted in FI,L,13.12.2018,M
RB15958500,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CL8011,0,KG,,Posted in FI,L,13.12.2018,M
RB15958500,32,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CM8012,0,KG,,Posted in FI,L,13.12.2018,M
