Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M1912001/3,RB15969771,2019-12-02,MR.PHASAKORN C.,12/2019,2020-02-15,1.00000,THB,221087.68,THB,221087.68,221087.68,0.00,0.00,0.00,0.00,1000210297,,RB1
BG00018077,บริษัท สยามอีเทอร์โฟม จำกัด,62-0426,RB15969772,2019-12-02,MR.PHASAKORN C.,12/2019,2020-03-31,1.00000,THB,647885.00,THB,647885.00,647885.00,0.00,0.00,0.00,0.00,1000210862,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6211-187,RB15969773,2019-12-02,Sathitpong Khongwanglam,12/2019,2020-03-01,1.00000,THB,43656.00,THB,43656.00,43656.00,0.00,0.00,0.00,0.00,1000210575,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6211-186,RB15969774,2019-12-02,Sathitpong Khongwanglam,12/2019,2020-03-01,1.00000,THB,23326.00,THB,23326.00,23326.00,0.00,0.00,0.00,0.00,1000210577,,RB1
BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล,-,RB15969775,2019-12-02,NEW SALESMAN 2,12/2019,2020-03-31,1.00000,THB,48150.00,THB,48150.00,48150.00,0.00,0.00,0.00,0.00,1000210462,,
BG00012909,บริษัท อีเทอนอล ซากาตะ อิ้งซ์,E-1912023,RB15969776,2019-12-02,MR. KASIN M.,12/2019,2020-03-01,1.00000,THB,303024.00,THB,303024.00,303024.00,0.00,0.00,0.00,0.00,1000210109,,RB1
BG00013780,บริษัท โตโยอิ๊งค์ (ประเทศไทย),6000078808,RB15969777,2019-12-02,MR. SONGTHAM C.,12/2019,2020-03-01,1.00000,THB,157290.00,THB,157290.00,157290.00,0.00,0.00,0.00,0.00,1000209922,,RB1
BG00013127,บริษัท ทีโอเอเพ้นท์ (ประเทศไทย,1401089792,RB15969778,2019-12-02,Sathitpong Khongwanglam,12/2019,2020-03-31,1.00000,THB,22684.00,THB,22684.00,22684.00,0.00,0.00,0.00,0.00,1000209590,,RB1
BG00013524,บริษัท ซีเอ็นเอ็น แพ็คกิ้ง จำก,PO6211109,RB15969779,2019-12-02,TAKDANAI Y.,12/2019,2020-01-31,1.00000,THB,128079.00,THB,128079.00,128079.00,0.00,0.00,0.00,0.00,1000209589,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM841-11,RB15969781,2019-12-02,MR. PRAMOTE R.,12/2019,2020-01-01,1.00000,THB,49220.00,THB,49220.00,49220.00,0.00,0.00,0.00,0.00,1000210612,,RB1
BG00012860,บริษัท ไนน์ เคมีคอล แอนด์ พลาส,62110323,RB15969783,2019-12-02,MS. KULASAB,12/2019,2020-02-15,1.00000,THB,154636.40,THB,154636.40,154636.40,0.00,0.00,0.00,0.00,1000210748,,RB1
