Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15961112,10,,RB_TW070,ZF2,"81,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CB9002,"1,000.00",KG,,Posted in FI,L,07.03.2019,M
RB15961112,20,,RB_TW070,ZF2,"80,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,,"1,000.00",KG,,Posted in FI,L,07.03.2019,M
RB15961112,21,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,CC9008,0,KG,,Posted in FI,L,07.03.2019,M
RB15961112,22,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,CC9009,0,KG,,Posted in FI,L,07.03.2019,M
RB15961112,30,,RB_TW070,ZF2,"204,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH210T-DR000200,ALMATEX KH210(T),,RB11,CM8003,"1,200.00",KG,,Posted in FI,L,07.03.2019,M
RB15961112,40,,RB_TW070,ZF2,"182,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,,"1,200.00",KG,,Posted in FI,L,07.03.2019,M
RB15961112,41,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CL8003,0,KG,,Posted in FI,L,07.03.2019,M
RB15961112,42,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CB9001,0,KG,,Posted in FI,L,07.03.2019,M
RB15961112,50,,RB_TW070,ZF2,"315,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQ17090-DR000200,OLESTER Q1709,,RB11,CA9001,"3,000.00",KG,,Posted in FI,L,07.03.2019,M
RB15961008,40,,RB_TW070,ZF2,"76,800.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CC9003,800,KG,,Posted in FI,L,05.03.2019,M
RB15961006,10,,RB_TW070,ZF2,"192,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CC9003,"2,000.00",KG,,Posted in FI,L,05.03.2019,M
RB15961006,20,,RB_TW070,ZF2,"153,600.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CB9002,"1,600.00",KG,,Posted in FI,L,05.03.2019,M
RB15960960,10,,RB_TW070,ZF2,"308,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CB9009,"4,000.00",KG,,Posted in FI,L,04.03.2019,M
RB15960960,20,,RB_TW070,ZF2,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CB9003,"4,000.00",KG,,Posted in FI,L,04.03.2019,M
