Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Acid Value,7.8,6.0,10.0,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Appearance,A012,,,Visual Check
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Color,1,-999,2,JIS K5400
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Non Volatile Content,55.2,53.5,56.5,JIS K5407
ENF787000-DR000200,ALMATEX 787,RB11,A,CD8002,01-04-18,01-04-19,01-04-18,40000046503,Viscosity,A103,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Acid Value,8.8,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Non Volatile Content,64.9,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CD8003,04-04-18,04-04-19,05-04-18,40000046672,Viscosity,A091,,,JIS K5400
ENFP64600-DR000200,ALMATEX P646,RB11,A,CD8001,29-04-18,29-04-19,29-04-18,40000047486,Acid Value,4.3,3.0,7.0,JIS K5407
ENFP64600-DR000200,ALMATEX P646,RB11,A,CD8001,29-04-18,29-04-19,29-04-18,40000047486,Appearance,A012,,,Visual Check
ENFP64600-DR000200,ALMATEX P646,RB11,A,CD8001,29-04-18,29-04-19,29-04-18,40000047486,Color,1,-999,3,JIS K5400
ENFP64600-DR000200,ALMATEX P646,RB11,A,CD8001,29-04-18,29-04-19,29-04-18,40000047486,Non Volatile Content,60.2,58.5,61.5,JIS K5407
ENFP64600-DR000200,ALMATEX P646,RB11,A,CD8001,29-04-18,29-04-19,29-04-18,40000047486,Viscosity,A104,,,JIS K5400
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Appearance,A001,,,Visual Check
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Color,A005,,,Visual Check
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Non Volatile Content,48.7,48.0,50.0,1.5g./150oC/30min
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Particle Size,0.204,0.170,0.230,UV-VIS Spectrophotom
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,pH,8.54,7.00,9.50,"30oC,pH Meter"
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Specific Gravity,1.068,1.020,1.140,"30oC,Hydrometer"
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CD8006,01-04-18,28-09-18,03-04-18,40000046592,Viscosity,49.8,-999.0,99.9,"30oC,Viscometer"
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CD8007,27-04-18,24-10-18,30-04-18,40000047534,Appearance,A001,,,Visual Check
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CD8007,27-04-18,24-10-18,30-04-18,40000047534,Color,A005,,,Visual Check
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CD8007,27-04-18,24-10-18,30-04-18,40000047534,Non Volatile Content,49.0,48.0,50.0,1.5g./150oC/30min
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CD8007,27-04-18,24-10-18,30-04-18,40000047534,Particle Size,0.196,0.170,0.230,UV-VIS Spectrophotom
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CD8007,27-04-18,24-10-18,30-04-18,40000047534,pH,8.75,7.00,9.50,"30oC,pH Meter"
