Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Acid Value,14.5,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Non Volatile Content,53.9,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CH8002,19-08-18,19-08-19,20-08-18,40000051897,Viscosity,A089,,,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Acid Value,8.6,8.0,10.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Appearance,A012,,,Visual Check
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Color,1,-999,2,JIS K5400
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Non Volatile Content,65.3,63.0,67.0,JIS K5407
ENFB303T0-DR000200,ALMATEX B303T,RB11,A,CH8006,09-08-18,09-08-19,11-08-18,40000051533,Viscosity,A080,,,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Acid Value,11.5,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Color,1,-999,3,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Non Volatile Content,63.9,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,D,CA7001,09-01-17,09-01-18,06-08-18,890000005120,Viscosity,A111,,,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Acid Value,11.8,10.0,14.0,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Appearance,A012,,,Visual Check
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Color,1,-999,3,JIS K5400
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Non Volatile Content,63.8,63.5,66.5,JIS K5407
ENFB34100-DR000200,ALMATEX B341,RB11,A,CE7002,24-05-17,03-02-19,07-08-18,890000005123,Viscosity,A106,,,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Appearance,A012,,,Visual Check
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Color,1,-999,3,JIS K5400
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Non Volatile Content,67.8,67.0,69.0,JIS K5407
ENFC20100-DR000200,ALMATEX C201,RB11,A,CH8004,16-08-18,16-08-19,16-08-18,40000051720,Viscosity,A098,,,JIS K5400
ENFL20580-DR000200,ALMATEX L2058,RB11,A,CH8002,01-08-18,01-08-19,03-08-18,40000051122,Acid Value,0.6,0.5,2.5,JIS K5407
ENFL20580-DR000200,ALMATEX L2058,RB11,A,CH8002,01-08-18,01-08-19,03-08-18,40000051122,Appearance,A012,,,Visual Check
ENFL20580-DR000200,ALMATEX L2058,RB11,A,CH8002,01-08-18,01-08-19,03-08-18,40000051122,Color,1,-999,3,JIS K5400
ENFL20580-DR000200,ALMATEX L2058,RB11,A,CH8002,01-08-18,01-08-19,03-08-18,40000051122,Non Volatile Content,48.6,48.5,51.5,JIS K5407
ENFL20580-DR000200,ALMATEX L2058,RB11,A,CH8002,01-08-18,01-08-19,03-08-18,40000051122,Viscosity,A118,,,JIS K5400
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,Appearance,A001,,,Visual Check
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,Color,A005,,,Visual Check
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,Non Volatile Content,49.1,48.0,50.0,1.5g./150oC/30min
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,Particle Size,0.205,0.170,0.230,UV-VIS Spectrophotom
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,pH,8.74,7.00,9.50,"30oC,pH Meter"
ENGAL9009-DR000200,ALMATEX-A-9009,RB11,A,CH8013,03-08-18,30-01-19,09-08-18,40000051453,Specific Gravity,1.066,1.020,1.140,"30oC,Hydrometer"
