Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,RWK2002-00112,RB15971929,2020-02-12,MR. SONGTHAM C.,02/2020,2020-06-11,1.00000,THB,263220.00,THB,263220.00,263220.00,0.00,0.00,0.00,0.00,1000217618,,RB1
BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,GWK2002-00021,RB15971930,2020-02-12,MR. SONGTHAM C.,02/2020,2020-06-11,1.00000,THB,471870.00,THB,471870.00,471870.00,0.00,0.00,0.00,0.00,1000217803,,RB1
BG00014025,บริษัท อิโนแอ็ค ออโตโมทีฟ,A200200006,RB15971931,2020-02-12,MR. WICHANCHAI  S.,02/2020,2020-04-12,1.00000,THB,188080.32,THB,188080.32,188080.32,0.00,0.00,0.00,0.00,1000217919,,RB1
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,20L01575,RB15971932,2020-02-12,MR. KEAITTICHAI  A.,02/2020,2020-03-31,1.00000,THB,112763.02,THB,112763.02,112763.02,0.00,0.00,0.00,0.00,1000217827,,RB1
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,20G09325,RB15971934,2020-02-12,MR. WICHANCHAI  S.,02/2020,2020-04-12,1.00000,THB,55147.80,THB,55147.80,55147.80,0.00,0.00,0.00,0.00,1000217812,,RB1
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M202001/3,RB15971935,2020-02-12,MR.PHASAKORN C.,02/2020,2020-04-27,1.00000,THB,211196.60,THB,211196.60,211196.60,0.00,0.00,0.00,0.00,1000216892,,RB1
BG00012927,บริษัท สักทอง (ไทย) จำกัด,50080786,RB15971936,2020-02-12,MR. PRAMOTE R.,02/2020,2020-04-12,1.00000,THB,79608.00,THB,79608.00,79608.00,0.00,0.00,0.00,0.00,1000217590,,RB1
BG00012983,บริษัท นิปปอนเพนต์ เดคโคเรทีฟ,2110042288,RB15971937,2020-02-12,MR.JARUWAT SINGTO,02/2020,2020-06-11,1.00000,THB,259475.00,THB,259475.00,259475.00,0.00,0.00,0.00,0.00,1000217393,,RB1
BG00020042,บริษัท เคไอเจ มาร์เก็ตติ้ง จำก,POKIJ200092,RB15971938,2020-02-12,MR. PRAMOTE R.,02/2020,2020-05-12,1.00000,THB,544095.00,THB,544095.00,544095.00,0.00,0.00,0.00,0.00,1000216495,,
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM2001008,RB15971939,2020-02-12,MR. PRAMOTE R.,02/2020,2020-05-12,1.00000,THB,323568.00,THB,323568.00,323568.00,0.00,0.00,0.00,0.00,1000216319,,RB1
BG00013138,บริษัท ยูเนียนคาร์ตอน อินดัสทร,20020095,RB15971940,2020-02-12,MR. PRAMOTE R.,02/2020,2020-04-12,1.00000,THB,29425.00,THB,29425.00,29425.00,0.00,0.00,0.00,0.00,1000217798,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO20RM048-01,RB15971941,2020-02-12,MR. PRAMOTE R.,02/2020,2020-03-13,1.00000,THB,120375.00,THB,120375.00,120375.00,0.00,0.00,0.00,0.00,1000217801,,RB1
