Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,WK1909-00244,RB15967490,2019-09-23,MS. KULASAB,09/2019,2020-01-21,1.00000,THB,47508.00 ,THB,47508.00 ,47508.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202981,,RB1
BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,WK1909-00208,RB15967491,2019-09-23,MS. KULASAB,09/2019,2020-01-21,1.00000,THB,109354.00 ,THB,109354.00 ,109354.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202697,,RB1
BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,WK1909-00143,RB15967492,2019-09-23,MS. KULASAB,09/2019,2020-01-21,1.00000,THB,26750.00 ,THB,26750.00 ,26750.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202103,,RB1
BG00012943,บริษัท เค.คอสมิค จำกัด,PO6209-1003,RB15967496,2019-09-23,MR. PRAMOTE R.,09/2019,2019-11-22,1.00000,THB,184896.00 ,THB,184896.00 ,184896.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202177,,
BG00013518,บริษัท เอสเคเค เคมิคอล (ไทยแลน,27716,RB15967497,2019-09-23,MS. KULASAB,09/2019,2019-11-22,1.00000,THB,588500.00 ,THB,588500.00 ,588500.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000201843,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400133817(AM)TPC2,RB15967498,2019-09-23,MS. SUTINA CHONLACHIT,09/2019,2019-12-22,1.00000,THB,413020.00 ,THB,413020.00 ,413020.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000201081,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000009277,RB15967500,2019-09-23,Sathitpong Khongwanglam,09/2019,2020-01-21,1.00000,THB,93732.00 ,THB,93732.00 ,93732.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202768,,RB1
BG00013070,บริษัท สหไทยอุตสาหกรรมแผ่นกั้น,DM-PM1909017,RB15967501,2019-09-23,MR. PRAMOTE R.,09/2019,2019-12-22,1.00000,THB,77425.20 ,THB,77425.20 ,77425.20 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202756,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6209-073,RB15967502,2019-09-23,Sathitpong Khongwanglam,09/2019,2019-12-22,1.00000,THB,112350.00 ,THB,112350.00 ,112350.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202674,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6209-073,RB15967503,2019-09-23,Sathitpong Khongwanglam,09/2019,2019-12-22,1.00000,THB,128400.00 ,THB,128400.00 ,128400.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202351,,RB1
BG00013067,บริษัท เท็กซ์ไทล์เพรสทีจ จำกัด,1400134163(NW)TPC2,RB15967504,2019-09-23,MS. SUTINA CHONLACHIT,09/2019,2019-12-22,1.00000,THB,102720.00 ,THB,102720.00 ,102720.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000200331,,RB1
BG00024866,บริษัท บางกอกฟอยล์ จำกัด,PO6200740,RB15967505,2019-09-23,TAKDANAI Y.,09/2019,2019-10-23,1.00000,THB,250808.00 ,THB,250808.00 ,250808.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203272,,
BG00023479,บริษัท อาร์.เอส.อินดัสตรี้ จำก,-,RB15967506,2019-09-23,MR. SONGTHAM C.,09/2019,2019-09-23,1.00000,THB,72760.00 ,THB,72760.00 ,0.00 ,72760.00 ,0.00 ,0.00 ,0.00 ,1000203261,,
BG00013415,ห้างหุ้นส่วนจำกัด ซุปเปอร์เบสท,PO91/0048,RB15967507,2019-09-23,MR. PRAMOTE R.,09/2019,2019-09-23,1.00000,THB,10914.00 ,THB,10914.00 ,0.00 ,10914.00 ,0.00 ,0.00 ,0.00 ,1000203179,,
BG00013472,บริษัท จี.ดี.ซี. แกรนด์ ไดมอนด,CPO1909-032,RB15967508,2019-09-23,TAKDANAI Y.,09/2019,2019-11-22,1.00000,THB,183355.20 ,THB,183355.20 ,183355.20 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203087,,
BG00013992,บริษัท โยโกฮามา รับเบอร์,PO20190900129,RB15967509,2019-09-23,MR. KEAITTICHAI  A.,09/2019,2019-10-23,1.00000,THB,74377.31 ,THB,74377.31 ,74377.31 ,0.00 ,0.00 ,0.00 ,0.00 ,1000202749,,RB1
BG00022241,บริษัท บางกอกซีท จำกัด,BS19-08-039,RB15967510,2019-09-23,MR. WICHANCHAI  S.,09/2019,2019-12-22,1.00000,THB,372499.64 ,THB,372499.64 ,372499.64 ,0.00 ,0.00 ,0.00 ,0.00 ,1000200917,,
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,19L21553,RB15967511,2019-09-23,MR. KEAITTICHAI  A.,09/2019,2019-10-31,1.00000,THB,95576.68 ,THB,95576.68 ,95576.68 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203188,,RB1
BG00014014,บริษัท เอส ที บี เท็กซ์ไทล์,PO190919-062,RB15967512,2019-09-23,MR. KEAITTICHAI  A.,09/2019,2019-11-22,1.00000,THB,177339.87 ,THB,177339.87 ,177339.87 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203152,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2201913665,RB15967513,2019-09-23,MR.PHASAKORN C.,09/2019,2019-11-22,1.00000,THB,124481.49 ,THB,124481.49 ,124481.49 ,0.00 ,0.00 ,0.00 ,0.00 ,1000200441,,RB1
BG00013990,บริษัท ไทยโตชิบาอุตสาหกรรม จำก,2201913661,RB15967514,2019-09-23,MR.PHASAKORN C.,09/2019,2019-11-22,1.00000,THB,422750.07 ,THB,422750.07 ,422750.07 ,0.00 ,0.00 ,0.00 ,0.00 ,1000200435,,RB1
BG00013103,บริษัท ไทยสแตนเลย์การไฟฟ้า จำก,4500048503,RB15967515,2019-09-23,MS. SUTINA CHONLACHIT,09/2019,2019-11-22,1.00000,THB,84744.00 ,THB,84744.00 ,84744.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203059,,RB1
BG00013103,บริษัท ไทยสแตนเลย์การไฟฟ้า จำก,4500048427,RB15967516,2019-09-23,MS. SUTINA CHONLACHIT,09/2019,2019-11-22,1.00000,THB,112992.00 ,THB,112992.00 ,112992.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203096,,RB1
BG00019465,ดี เอ็น เอ ช็อป ดีไซน์,PO6209022,RB15967517,2019-09-23,MR.PHASAKORN C.,09/2019,2019-11-22,1.00000,THB,484431.80 ,THB,484431.80 ,484431.80 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203262,,RB1
BG00014016,บริษัท เอ็นเอชเค สปริง,89G29383,RB15967518,2019-09-23,MR. WICHANCHAI  S.,09/2019,2019-11-22,1.00000,THB,539701.58 ,THB,539701.58 ,539701.58 ,0.00 ,0.00 ,0.00 ,0.00 ,1000203085,,RB1
