Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Appearance,A001,,,Visual Check
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Color,A005,,,Visual Check
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Non Volatile Content,49.1,48.0,50.0,1.5g./150oC/30min
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Particle Size,0.214,0.170,0.230,UV-VIS Spectrophotom
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,pH,8.78,7.00,9.50,"30oC,pH Meter"
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Specific Gravity,1.069,1.020,1.140,"30oC,Hydrometer"
ENGAL9009-DR000100,ALMATEX-A-9009,RB11,A,CC9007,09-03-19,05-09-19,11-03-19,40000058849,Viscosity,50.0,-999.0,99.9,"30oC,Viscometer"
