Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,02-07-18,10000031378,30010-PMAC (PMA),DOWANOL PMA (PMAC),I4OCS6,24-04-18,Z01,0.000,KG,,21-10-18,Usage decision has been made,A,101,5000232732,Water content,0.05,-999,%,0.027,Karl Fishcher
RB11,02-07-18,10000031378,30010-PMAC (PMA),DOWANOL PMA (PMAC),I4OCS6,24-04-18,Z01,0.000,KG,,21-10-18,Usage decision has been made,A,101,5000232732,Refractive index,1.4005,1.3985,,1.3995,25oC
RB11,02-07-18,10000031378,30010-PMAC (PMA),DOWANOL PMA (PMAC),I4OCS6,24-04-18,Z01,0.000,KG,,21-10-18,Usage decision has been made,A,101,5000232732,Color,20,0,Pt-Co,1.9,Spectrophotometer
RB11,02-07-18,10000031378,30010-PMAC (PMA),DOWANOL PMA (PMAC),I4OCS6,24-04-18,Z01,"1,900.000",KG,,21-10-18,Usage decision has been made,A,101,5000232732,Specific Gravity,0.969,0.965,,0.96686,20oC
RB11,02-07-18,10000031383,30026-MMA,Methyl Methacrylate (MMA),TANK280618,28-06-18,Z01,0.000,KG,,26-09-18,Usage decision has been made,A,101,5000232734,Water content,0.1,-999,%,0.0416,Karl Fishcher
RB11,02-07-18,10000031383,30026-MMA,Methyl Methacrylate (MMA),TANK280618,28-06-18,Z01,0.000,KG,,26-09-18,Usage decision has been made,A,101,5000232734,Refractive index,1.4125,1.4115,,1.4122,25oC
RB11,02-07-18,10000031383,30026-MMA,Methyl Methacrylate (MMA),TANK280618,28-06-18,Z01,0.000,KG,,26-09-18,Usage decision has been made,A,101,5000232734,Color,15,0,Pt-Co,2,Spectrophotometer
RB11,02-07-18,10000031383,30026-MMA,Methyl Methacrylate (MMA),TANK280618,28-06-18,Z01,"12,000.000",KG,,26-09-18,Usage decision has been made,A,101,5000232734,Specific Gravity,0.946,0.942,,0.94342,20oC
RB11,02-07-18,10000031389,30026-MMA,Methyl Methacrylate (MMA),TANK290618,29-06-18,Z01,0.000,KG,,27-09-18,Usage decision has been made,A,101,5000232739,Water content,0.1,-999,%,0.0352,Karl Fishcher
RB11,02-07-18,10000031389,30026-MMA,Methyl Methacrylate (MMA),TANK290618,29-06-18,Z01,0.000,KG,,27-09-18,Usage decision has been made,A,101,5000232739,Refractive index,1.4125,1.4115,,1.4121,25oC
