Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Acid Value,14.8,13.0,17.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Appearance,A012,,,Visual Check
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Color,1,-999,2,JIS K5400
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Non Volatile Content,53.6,53.0,57.0,JIS K5407
ENF750T00-DR000200,ALMATEX 750T,RB11,A,CE8001,14-05-18,14-05-19,15-05-18,40000048154,Viscosity,A083,,,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Acid Value,10.7,9.0,12.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Appearance,A012,,,Visual Check
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Color,1,-999,3,JIS K5400
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Crater,2,0,4,TMSC(A4 x 2Panel)
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Non Volatile Content,56.5,56.0,58.0,JIS K5407
ENFKH113T-DR000200,ALMATEX KH113(T),RB11,A,CE8002,14-05-18,14-05-19,14-05-18,40000048106,Viscosity,A069,,,JIS K5400
ENJQ17090-DR000200,OLESTER Q1709,RB11,A,CE8003,09-05-18,09-05-19,10-05-18,40000047959,Acid Value,3.7,3.0,5.0,JIS K5407
ENJQ17090-DR000200,OLESTER Q1709,RB11,A,CE8003,09-05-18,09-05-19,10-05-18,40000047959,Appearance,A012,,,Visual Check
ENJQ17090-DR000200,OLESTER Q1709,RB11,A,CE8003,09-05-18,09-05-19,10-05-18,40000047959,Color,1,-999,3,JIS K5400
ENJQ17090-DR000200,OLESTER Q1709,RB11,A,CE8003,09-05-18,09-05-19,10-05-18,40000047959,Non Volatile Content,60.8,58.0,62.0,JIS K5407
ENJQ17090-DR000200,OLESTER Q1709,RB11,A,CE8003,09-05-18,09-05-19,10-05-18,40000047959,Viscosity,A092,,,JIS K5400
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8004,03-05-18,03-05-19,05-05-18,40000047702,Acid Value,5.6,4.5,6.5,JIS K5407
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8004,03-05-18,03-05-19,05-05-18,40000047702,Appearance,A012,,,Visual Check
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8004,03-05-18,03-05-19,05-05-18,40000047702,Color,1,-999,3,JIS K5400
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8004,03-05-18,03-05-19,05-05-18,40000047702,Non Volatile Content,60.8,59.5,61.5,JIS K5407
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8004,03-05-18,03-05-19,05-05-18,40000047702,Viscosity,A110,,,JIS K5400
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8005,16-05-18,16-05-19,16-05-18,40000048212,Acid Value,5.4,4.5,6.5,JIS K5407
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8005,16-05-18,16-05-19,16-05-18,40000048212,Appearance,A012,,,Visual Check
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8005,16-05-18,16-05-19,16-05-18,40000048212,Color,1,-999,3,JIS K5400
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8005,16-05-18,16-05-19,16-05-18,40000048212,Non Volatile Content,61.2,59.5,61.5,JIS K5407
ENJQC4175-DR000200,OLESTER QC417-5,RB11,A,CE8005,16-05-18,16-05-19,16-05-18,40000048212,Viscosity,A111,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8011,01-05-18,01-05-19,03-05-18,40000047611,Acid Value,5.9,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8011,01-05-18,01-05-19,03-05-18,40000047611,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8011,01-05-18,01-05-19,03-05-18,40000047611,Color,7,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8011,01-05-18,01-05-19,03-05-18,40000047611,Non Volatile Content,59.7,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8011,01-05-18,01-05-19,03-05-18,40000047611,Viscosity,A106,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8012,17-05-18,17-05-19,17-05-18,40000048264,Acid Value,5.8,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8012,17-05-18,17-05-19,17-05-18,40000048264,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8012,17-05-18,17-05-19,17-05-18,40000048264,Color,13,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8012,17-05-18,17-05-19,17-05-18,40000048264,Non Volatile Content,59.6,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CE8012,17-05-18,17-05-19,17-05-18,40000048264,Viscosity,A106,,,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8012,01-05-18,01-05-19,05-05-18,40000047698,Acid Value,7.0,6.0,9.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8012,01-05-18,01-05-19,05-05-18,40000047698,Appearance,A012,,,Visual Check
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8012,01-05-18,01-05-19,05-05-18,40000047698,Color,1,-999,3,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8012,01-05-18,01-05-19,05-05-18,40000047698,Non Volatile Content,70.2,68.0,72.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8012,01-05-18,01-05-19,05-05-18,40000047698,Viscosity,A134,,,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8013,07-05-18,07-05-19,07-05-18,40000047803,Acid Value,6.7,6.0,9.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8013,07-05-18,07-05-19,07-05-18,40000047803,Appearance,A012,,,Visual Check
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8013,07-05-18,07-05-19,07-05-18,40000047803,Color,1,-999,3,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8013,07-05-18,07-05-19,07-05-18,40000047803,Non Volatile Content,70.7,68.0,72.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8013,07-05-18,07-05-19,07-05-18,40000047803,Viscosity,A133,,,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8014,12-05-18,12-05-19,13-05-18,40000048077,Acid Value,6.8,6.0,9.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8014,12-05-18,12-05-19,13-05-18,40000048077,Appearance,A012,,,Visual Check
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8014,12-05-18,12-05-19,13-05-18,40000048077,Color,1,-999,3,JIS K5400
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8014,12-05-18,12-05-19,13-05-18,40000048077,Non Volatile Content,71.3,68.0,72.0,JIS K5407
ENJQR331T-DR000200,OLESTER QR331T,RB11,A,CE8014,12-05-18,12-05-19,13-05-18,40000048077,Viscosity,A135,,,JIS K5400
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,Acid Value,0.3,0.0,0.9,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,Appearance,A012,,,Visual Check
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,Color,10,10,29,JIS K6901
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,Crater,0,0,3,TMSC(A4 x 2Panel)
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,MS,19.7,12.0,20.0,20oC
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CE8004,13-05-18,09-11-18,13-05-18,40000048079,Non Volatile Content,66.0,63.0,67.0,JIS K5407
