Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
30001-XY,Xylene,RB11,A,TANK031018,03-10-18,01-04-19,04-10-18,10000034342,Color,3.5,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK031018,03-10-18,01-04-19,04-10-18,10000034342,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK031018,03-10-18,01-04-19,04-10-18,10000034342,Specific Gravity,0.86552,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK031018,03-10-18,01-04-19,04-10-18,10000034342,Water content,0.0224,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK081018,08-10-18,06-04-19,09-10-18,10000034533,Color,3.8,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK081018,08-10-18,06-04-19,09-10-18,10000034533,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK081018,08-10-18,06-04-19,09-10-18,10000034533,Specific Gravity,0.86558,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK081018,08-10-18,06-04-19,09-10-18,10000034533,Water content,0.0204,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK161018,16-10-18,14-04-19,16-10-18,10000034755,Color,2.3,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK161018,16-10-18,14-04-19,16-10-18,10000034755,Refractive index,1.4935,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK161018,16-10-18,14-04-19,16-10-18,10000034755,Specific Gravity,0.86565,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK161018,16-10-18,14-04-19,16-10-18,10000034755,Water content,0.0180,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK191018,19-10-18,17-04-19,19-10-18,10000034881,Color,1.5,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK191018,19-10-18,17-04-19,19-10-18,10000034881,Refractive index,1.4934,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK191018,19-10-18,17-04-19,19-10-18,10000034881,Specific Gravity,0.86563,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK191018,19-10-18,17-04-19,19-10-18,10000034881,Water content,0.0201,-999.00000,0.10000,Karl Fishcher
30001-XY,Xylene,RB11,A,TANK241018,24-10-18,22-04-19,24-10-18,10000034979,Color,1.7,0.0,20.0,Spectrophotometer
30001-XY,Xylene,RB11,A,TANK241018,24-10-18,22-04-19,24-10-18,10000034979,Refractive index,1.4957,1.49100,1.49600,25oC
30001-XY,Xylene,RB11,A,TANK241018,24-10-18,22-04-19,24-10-18,10000034979,Specific Gravity,0.86701,0.86400,0.86800,20oC
30001-XY,Xylene,RB11,A,TANK241018,24-10-18,22-04-19,24-10-18,10000034979,Water content,0.0260,-999.00000,0.10000,Karl Fishcher
30002-TOL,Toluene,RB11,A,TANK171018,17-10-18,15-04-19,17-10-18,10000034788,Color,3.0,0.0,20.0,Spectrophotometer
