Bill.Doc.,Item,S,Created,BillT,Net Value,Curr.,SOrg.,DChl,DstC,SDst,CGrp,Payer,Name of the payer,Address,Material,Description,Prod.hier.,Plnt,Batch,  Bill.qty,SU,S,Descript.,BlCat,Bill. Date,DocCa
RB15954731,10,,RB_TW070,ZF2,"32,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,CH8036,400,KG,,Posted in FI,L,27.08.2018,M
RB15954731,20,,RB_TW070,ZF2,"154,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CH8034,"2,000.00",KG,,Posted in FI,L,27.08.2018,M
RB15954731,31,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CH8014,0,KG,,Posted in FI,L,27.08.2018,M
RB15954731,32,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CH8015,0,KG,,Posted in FI,L,27.08.2018,M
RB15954731,40,,RB_TW070,ZF2,"96,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CH8007,"1,000.00",KG,,Posted in FI,L,27.08.2018,M
RB15954731,51,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CG8005,0,KG,,Posted in FI,L,27.08.2018,M
RB15954731,52,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFB303T0-DR000200,ALMATEX B303T,,RB11,CH8006,0,KG,,Posted in FI,L,27.08.2018,M
RB15954574,10,,RB_TW070,ZF2,"308,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CH8032,"4,000.00",KG,,Posted in FI,L,15.08.2018,M
RB15954454,10,,RB_TW070,S1,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CH8032,"4,000.00",KG,,Posted in FI,L,15.08.2018,N
RB15954334,10,,RB_TW070,ZF2,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CH8032,"4,000.00",KG,,Posted in FI,L,15.08.2018,M
RB15954227,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CF8005,0,KG,,Posted in FI,L,10.08.2018,M
RB15954227,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB20T0-DR000200,U-VAN MB20T,,RB11,CH8006,0,KG,,Posted in FI,L,10.08.2018,M
RB15954227,20,,RB_TW070,ZF2,"192,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CG8002,"2,000.00",KG,,Posted in FI,L,10.08.2018,M
RB15954227,30,,RB_TW070,ZF2,"215,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENJQC418H-DR000200,OLESTER QC418HT,,RB11,CF8014,"2,000.00",KG,,Posted in FI,L,10.08.2018,M
RB15954189,10,,RB_TW070,ZF2,"126,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR20SE65-DR000200,U-VAN 20SE65,,RB11,CG8005,"1,600.00",KG,,Posted in FI,L,09.08.2018,M
RB15954189,20,,RB_TW070,ZF2,"78,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR286000-DR000200,U-VAN 28-60,,RB11,CG8034,"1,000.00",KG,,Posted in FI,L,09.08.2018,M
RB15954189,30,,RB_TW070,ZF2,"292,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CG8013,"4,000.00",KG,,Posted in FI,L,09.08.2018,M
RB15954009,11,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CG8030,0,KG,,Posted in FI,L,06.08.2018,M
RB15954009,12,,RB_TW070,ZF2,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CG8031,0,KG,,Posted in FI,L,06.08.2018,M
RB15953837,11,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CF8012,0,KG,,Posted in FI,L,01.08.2018,M
RB15953837,12,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR925T70-DR000200,U-VAN 925T-70,,RB11,CG8013,0,KG,,Posted in FI,L,01.08.2018,M
RB15953837,20,,RB_TW070,Z1,"200,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH210T-DR000200,ALMATEX KH210(T),,RB11,CC8001,"1,200.00",KG,,Posted in FI,L,01.08.2018,M
RB15953837,31,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CB8001,0,KG,,Posted in FI,L,01.08.2018,M
RB15953837,32,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CE8002,0,KG,,Posted in FI,L,01.08.2018,M
RB15953826,11,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CF8029,0,KG,,Posted in FI,L,01.08.2018,M
RB15953826,12,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CG8030,0,KG,,Posted in FI,L,01.08.2018,M
RB15953826,21,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CE8001,0,KG,,Posted in FI,L,01.08.2018,M
RB15953826,22,,RB_TW070,Z1,0,THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENRMB30T0-DR000200,U-VAN MB30T,,RB11,CG8002,0,KG,,Posted in FI,L,01.08.2018,M
RB15953161,10,,RB_TW070,ZF2,"100,200.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH210T-DR000200,ALMATEX KH210(T),,RB11,CC8001,600,KG,,Posted in FI,L,12.07.2018,M
RB15953161,20,,RB_TW070,ZF2,"89,400.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENFKH113T-DR000200,ALMATEX KH113(T),,RB11,CB8001,600,KG,,Posted in FI,L,12.07.2018,M
RB15953161,30,,RB_TW070,ZF2,"300,000.00",THB,RB00,11,TH,,,BG00013661,บริษัท สีไทยกันไซเพ้นท์ จำกัด,52852,ENR48B000-DR000200,U-VAN 48B,,RB11,CF8028,"4,000.00",KG,,Posted in FI,L,12.07.2018,M
