Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6210-259,RB15968767,2019-11-01,Sathitpong Khongwanglam,11/2019,2020-01-30,1.00000,THB,48792.00,THB,48792.00,48792.00,0.00,0.00,0.00,0.00,1000207290,,RB1
BG00013065,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำก,6930046502,RB15968768,2019-11-01,MR. PRAMOTE R.,11/2019,2020-01-30,1.00000,THB,208650.00,THB,208650.00,208650.00,0.00,0.00,0.00,0.00,1000207247,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM775-10,RB15968769,2019-11-01,MR. PRAMOTE R.,11/2019,2019-12-01,1.00000,THB,98440.00,THB,98440.00,98440.00,0.00,0.00,0.00,0.00,1000207222,,RB1
BG00013070,บริษัท สหไทยอุตสาหกรรมแผ่นกั้น,DM-PM1910025,RB15968770,2019-11-01,MR. PRAMOTE R.,11/2019,2020-01-30,1.00000,THB,77425.20,THB,77425.20,77425.20,0.00,0.00,0.00,0.00,1000207193,,RB1
BG00012982,บริษัท นิปปอนเพนต์ (ประเทศไทย),2210081775,RB15968771,2019-11-01,Sathitpong Khongwanglam,11/2019,2020-02-29,1.00000,THB,482998.00,THB,482998.00,482998.00,0.00,0.00,0.00,0.00,1000207107,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0123,RB15968772,2019-11-01,TAKDANAI Y.,11/2019,2019-12-31,1.00000,THB,14329.44,THB,14329.44,14329.44,0.00,0.00,0.00,0.00,1000207024,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0122,RB15968773,2019-11-01,TAKDANAI Y.,11/2019,2019-12-31,1.00000,THB,98611.20,THB,98611.20,98611.20,0.00,0.00,0.00,0.00,1000207023,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6201263,RB15968774,2019-11-01,MR. PRAMOTE R.,11/2019,2020-02-29,1.00000,THB,30495.00,THB,30495.00,30495.00,0.00,0.00,0.00,0.00,1000206997,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6201262,RB15968775,2019-11-01,MR. PRAMOTE R.,11/2019,2020-02-29,1.00000,THB,48551.25,THB,48551.25,48551.25,0.00,0.00,0.00,0.00,1000206995,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6201261,RB15968776,2019-11-01,MR. PRAMOTE R.,11/2019,2020-02-29,1.00000,THB,38787.50,THB,38787.50,38787.50,0.00,0.00,0.00,0.00,1000206994,,RB1
BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,PO0003285,RB15968777,2019-11-01,Sathitpong Khongwanglam,11/2019,2020-01-30,1.00000,THB,365084.00,THB,365084.00,365084.00,0.00,0.00,0.00,0.00,1000206919,,RB1
