Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013661,ENFC20700-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,RB_SQ014,06-03-15,10:19:17 AM,RB_SQ014,28-04-15,1:00:49 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENFC20700-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,15.0,12.0,,JIS K5407,X,RB_SQ014,06-03-15,10:19:17 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFC20700-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,66.5,63.5,,JIS K5407,X,RB_SQ014,06-03-15,10:19:17 AM,RB_SQ014,28-04-15,1:00:49 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013661,ENFKH113T-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_UQ004,14-12-15,4:00:14 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH113T-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,Q-UV,JIS K5400,X,RB_UQ004,14-12-15,4:00:14 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH113T-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,RB_UQ004,14-12-15,4:00:14 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH113T-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,12.0,9.0,,JIS K5407,X,RB_UQ004,14-12-15,4:00:14 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH113T-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,58.0,56.0,,JIS K5407,X,RB_UQ004,14-12-15,4:00:14 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH113T-DR000200,7,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA032,Crater,,4,0,,TMSC(A4 x 2Panel),X,RB_UQ004,14-12-15,4:03:50 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013661,ENFKH210T-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ014,06-03-15,10:26:50 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
