Sales office's Description,Invoice No.,Invoice Line Item No.,Invoice Date,Material,Material Description,Quantity,UOM,Sales Order No.,Sales Order  Item No.,Sales Order Type,Customer purchase order number,Payment Terms,Sold-to Party,Sold-to Name,Ship-to Party,Ship-to Name,Bill-to Party,Bill-to Name,Payer,Payer Name,Sales Rep,Sales Rep Name
IR,RB15949459,10,02-04-18,ENGAL2500-BLK01000,ALMATEX-A-250,"2,000.000",KG,1000147486,10,ZGOR,'-,Z120,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,SG00000038,MR. NUT P.
IR,RB15949459,20,02-04-18,ENGAL2600-BLK01000,ALMATEX-A-260,"2,000.000",KG,1000147486,20,ZGOR,'-,Z120,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,SG00000038,MR. NUT P.
IR,RB15949459,30,02-04-18,ENGAL9009-BLK01000,ALMATEX-A-9009,"1,000.000",KG,1000147486,30,ZGOR,'-,Z120,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล จำกัด,SG00000038,MR. NUT P.
IR,RB15949460,10,02-04-18,RKVV221G0-DR000100,VINYLAX-221G,"5,000.000",KG,1000147450,10,ZGOR,ST178/61,Z060,BG00013055,บริษัท  สตาร์-บอนด์  (ไทยแลนด์)  จำ,BG00013056,CHONBURY,BG00013055,บริษัท  สตาร์-บอนด์  (ไทยแลนด์)  จำ,BG00013055,บริษัท  สตาร์-บอนด์  (ไทยแลนด์)  จำ,SG00000028,MR. PRAMOTE R.
IR,RB15949461,10,02-04-18,RKV6131N2-BLK01000,VINYLAX-6131N2,"4,000.000",KG,1000147449,10,ZGOR,PO18RM012-01,Z030,BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,SG00000028,MR. PRAMOTE R.
IR,RB15949462,10,02-04-18,ENGAL9086-DR000200,ALMATEX-A-9086,200.000,KG,1000147442,10,ZGOR,PO6103-160,Z090,BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไทย) จ,BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไทย) จ,BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไทย) จ,BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไทย) จ,SG00000038,MR. NUT P.
IR,RB15949463,10,02-04-18,RKVV60450-BX000020,VINYLAX-6045,"1,000.000",KG,1000147433,10,ZGOR,6930027287,Z090,BG00013192,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำกัด,BG00013192,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำกัด,BG00013192,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำกัด,BG00013192,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำกัด,SG00000028,MR. PRAMOTE R.
IR,RB15949464,10,02-04-18,RKUT37HC0-DR000100,U-RAMIN T-37HC,200.000,KG,1000147681,10,ZGOR,'-,Z030,BG00012892,บริษัท เจริญนคร เทรดดิ้ง จำกัด,BG00012892,บริษัท เจริญนคร เทรดดิ้ง จำกัด,BG00012892,บริษัท เจริญนคร เทรดดิ้ง จำกัด,BG00012892,บริษัท เจริญนคร เทรดดิ้ง จำกัด,SG00000043,MR. VISIT R. (IT)
IR,RB15949465,10,02-04-18,ENJQ193X0-DR000200,OLESTER Q193X,"2,000.000",KG,1000147430,10,ZGOR,PO0001971,Z090,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,SG00000036,MR. SONGTHAM C.
IR,RB15949465,20,02-04-18,ENJQR2020-DR000200,OLESTER QR202,"1,000.000",KG,1000147430,20,ZGOR,PO0001971,Z090,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,SG00000036,MR. SONGTHAM C.
