Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013306,ENFB303T0-DR000200,6,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,RB_SQ001,09-03-15,3:16:40 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013306,ENFB303T0-DR000200,7,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,T-Y,JIS K5400,X,RB_SQ001,09-03-15,3:16:40 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013306,ENFB303T0-DR000200,8,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,RB_SQ001,09-03-15,3:16:40 PM,RB_SQ014,28-04-15,11:09:54 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFB303T0-DR000200,9,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,10.0,8.0,,JIS K5407,X,RB_SQ001,09-03-15,3:16:40 PM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013306,ENFB303T0-DR000200,10,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,67.0,63.0,,JIS K5407,X,RB_SQ001,09-03-15,3:16:40 PM,RB_SQ014,28-04-15,11:09:54 AM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFKH113T-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:18:43 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013306,ENFKH113T-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,Q-UV,JIS K5400,X,MNT_9326,27-02-15,11:18:43 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013306,ENFKH113T-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:18:44 AM,RB_SQ014,28-04-15,1:04:07 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFKH113T-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,12.0,9.0,,JIS K5407,X,MNT_9326,27-02-15,11:18:44 AM,RB_UQ004,16-06-15,2:11:08 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFKH113T-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,58.0,56.0,,JIS K5407,X,MNT_9326,27-02-15,11:18:44 AM,RB_SQ014,28-04-15,1:04:07 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFKH113T-DR000200,6,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA032,Crater,,4,0,,TMSC(A4 x 2Panel),X,MNT_9326,27-02-15,11:18:44 AM,RB_SQ014,28-04-15,1:04:07 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013306,ENFKH210T-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:18:45 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
