Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M199001/3,RB15966774,2019-09-02,MR.PHASAKORN C.,09/2019,2019-11-16,1.00000,THB,"405,913.06",THB,"405,913.06","405,913.06",0.00,0.00,0.00,0.00,1000200448,,RB1
BG00013572,บริษัท อะเดียเวนซา นิวเวิลด์,PO-201901613,RB15966775,2019-09-02,MR. WICHANCHAI  S.,09/2019,2019-10-17,1.00000,THB,"87,419.00",THB,"87,419.00","87,419.00",0.00,0.00,0.00,0.00,1000200984,,RB1
BG00014042,บริษัท เอ็นเอชเค สปริง (ประเทศ,29G51825,RB15966776,2019-09-02,MR. WICHANCHAI  S.,09/2019,2019-11-01,1.00000,THB,"67,003.40",THB,"67,003.40","67,003.40",0.00,0.00,0.00,0.00,1000201033,,RB1
BG00014025,บริษัท อิโนแอ็ค ออโตโมทีฟ,A190900018,RB15966777,2019-09-02,MR. WICHANCHAI  S.,09/2019,2019-11-01,1.00000,THB,"321,941.60",THB,"321,941.60","321,941.60",0.00,0.00,0.00,0.00,1000201080,,RB1
BG00013589,บริษัท คัลเลอร์ เอ็กซ์ตร้า พลั,-,RB15966778,2019-09-02,Sathitpong Khongwanglam,09/2019,2019-11-01,1.00000,THB,"19,260.00",THB,"19,260.00","19,260.00",0.00,0.00,0.00,0.00,1000201013,,RB1
BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,PO0003142,RB15966779,2019-09-02,Sathitpong Khongwanglam,09/2019,2019-12-01,1.00000,THB,"430,568.00",THB,"430,568.00","430,568.00",0.00,0.00,0.00,0.00,1000200860,,RB1
BG00013662,บริษัท สก๊อต เพ้นท์ จำกัด,PO0003139,RB15966780,2019-09-02,Sathitpong Khongwanglam,09/2019,2019-12-01,1.00000,THB,"186,180.00",THB,"186,180.00","186,180.00",0.00,0.00,0.00,0.00,1000200857,,RB1
BG00013005,บริษัท พีพีเอ็ม คอมเมอร์เชียล,-,RB15966781,2019-09-02,MS. KULASAB,09/2019,2019-12-31,1.00000,THB,"95,230.00",THB,"95,230.00","95,230.00",0.00,0.00,0.00,0.00,1000200853,,
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM1908002,RB15966782,2019-09-02,MR. PRAMOTE R.,09/2019,2019-12-01,1.00000,THB,"359,520.00",THB,"359,520.00","359,520.00",0.00,0.00,0.00,0.00,1000200778,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000009002,RB15966783,2019-09-02,Sathitpong Khongwanglam,09/2019,2019-12-31,1.00000,THB,"42,372.00",THB,"42,372.00","42,372.00",0.00,0.00,0.00,0.00,1000200775,,RB1
BG00013084,บริษัท ไทยดีเอนทีเพนท์ จำกัด,4000008499,RB15966784,2019-09-02,NITIPAT  JAIMONKONG,09/2019,2019-12-31,1.00000,THB,"65,484.00",THB,"65,484.00","65,484.00",0.00,0.00,0.00,0.00,1000197244,,RB1
BG00013259,บริษัท ยูนิค โปรดักส์ (ประเทศไ,PO6208-190,RB15966785,2019-09-02,Sathitpong Khongwanglam,09/2019,2019-12-01,1.00000,THB,"56,924.00",THB,"56,924.00","56,924.00",0.00,0.00,0.00,0.00,1000200723,,RB1
BG00012982,บริษัท นิปปอนเพนต์ (ประเทศไทย),2210080946,RB15966786,2019-09-02,MR. SONGTHAM C.,09/2019,2019-12-31,1.00000,THB,"752,210.00",THB,"752,210.00","752,210.00",0.00,0.00,0.00,0.00,1000200694,,RB1
