Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Acid Value,0.2,0.0,0.9,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Appearance,A012,,,Visual Check
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Color,10,10,29,JIS K6901
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Crater,2,0,3,TMSC(A4 x 2Panel)
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,MS,19.2,12.0,20.0,20oC
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Non Volatile Content,65.4,63.0,67.0,JIS K5407
ENR20SE65-DR000200,U-VAN 20SE65,RB11,A,CA8001,05-01-18,04-07-18,06-01-18,40000042756,Viscosity,A074,,,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CA8001,05-01-18,05-01-19,06-01-18,40000042758,Acid Value,6.1,5.0,7.0,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CA8001,05-01-18,05-01-19,06-01-18,40000042758,Appearance,A012,,,Visual Check
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CA8001,05-01-18,05-01-19,06-01-18,40000042758,Color,1,-999,3,JIS K5400
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CA8001,05-01-18,05-01-19,06-01-18,40000042758,Non Volatile Content,61.4,58.5,61.5,JIS K5407
ENJQ70000-DR000200,OLESTER Q700,RB11,A,CA8001,05-01-18,05-01-19,06-01-18,40000042758,Viscosity,A111,,,JIS K5400
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CA8001,07-01-18,07-01-19,07-01-18,40000042839,Acid Value,6.0,5.0,8.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CA8001,07-01-18,07-01-19,07-01-18,40000042839,Appearance,A012,,,Visual Check
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CA8001,07-01-18,07-01-19,07-01-18,40000042839,Color,14,0,150,JIS K6901
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CA8001,07-01-18,07-01-19,07-01-18,40000042839,Non Volatile Content,60.1,59.0,62.0,JIS K5407
ENJQC418H-DR000200,OLESTER QC418HT,RB11,A,CA8001,07-01-18,07-01-19,07-01-18,40000042839,Viscosity,A109,,,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Acid Value,12.7,12.0,15.0,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Appearance,A012,,,Visual Check
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Color,1,-999,3,JIS K5400
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Non Volatile Content,66.4,63.5,66.5,JIS K5407
ENFC20700-DR000200,ALMATEX C207,RB11,A,CA8001,08-01-18,08-01-19,09-01-18,40000042881,Viscosity,A117,,,JIS K5400
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Acid Value,0.2,0.0,0.9,JIS K5407
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Appearance,A012,,,Visual Check
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,ASTM,6.7,5.0,999.9,25oC
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Color,10,10,29,JIS K6901
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Crater,1,0,4,TMSC(A4 x 2Panel)
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Non Volatile Content,55.6,54.5,58.5,JIS K5407
ENR48B000-DR000200,U-VAN 48B,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042932,Viscosity,A023,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Acid Value,0.4,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Appearance,A012,,,Visual Check
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Color,10,10,29,JIS K6901
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Crater,0,0,4,TMSC(A4 x 2Panel)
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,MS,11.4,7.0,15.0,20oC
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Non Volatile Content,61.3,58.0,62.0,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,,CA8002.,09-01-18,08-07-18,09-01-18,40000042934,Viscosity,A039,,,JIS K5400
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Acid Value,0.4,0.0,0.9,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Appearance,A012,,,Visual Check
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Color,10,10,29,JIS K6901
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Crater,0,0,4,TMSC(A4 x 2Panel)
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,MS,12.5,7.0,15.0,20oC
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Non Volatile Content,61.0,58.0,62.0,JIS K5407
ENR286000-DR000200,U-VAN 28-60,RB11,A,CA8001,09-01-18,08-07-18,09-01-18,40000042936,Viscosity,A039,,,JIS K5400
