Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013090,บริษัท สีไทยกันไซเพ้นท์ จำกัด,WK2001-00018,RB15970711,2020-01-07,MR. SONGTHAM C.,01/2020,2020-05-06,1.00000,THB,343684.00,THB,343684.00,343684.00,0.00,0.00,0.00,0.00,1000214392,,RB1
BG00013127,บริษัท ทีโอเอเพ้นท์ (ประเทศไทย,1401091023,RB15970712,2020-01-07,Sathitpong Khongwanglam,01/2020,2020-05-06,1.00000,THB,22898.00,THB,22898.00,22898.00,0.00,0.00,0.00,0.00,1000214221,,RB1
BG00013286,บริษัท ชัยเจริญ โพลิชชิ่ง จำกั,PO62/12/1401,RB15970713,2020-01-07,MR. PRAMOTE R.,01/2020,2020-01-07,1.00000,THB,20544.00,THB,20544.00,0.00,20544.00,0.00,0.00,0.00,1000214383,,
BG00024866,บริษัท บางกอกฟอยล์ จำกัด,PO6300010,RB15970714,2020-01-07,TAKDANAI Y.,01/2020,2020-02-06,1.00000,THB,370990.40,THB,370990.40,370990.40,0.00,0.00,0.00,0.00,1000214381,,
BG00012860,บริษัท ไนน์ เคมีคอล แอนด์ พลาส,63010002,RB15970715,2020-01-07,MR. PRAMOTE R.,01/2020,2020-03-22,1.00000,THB,165935.60,THB,165935.60,165935.60,0.00,0.00,0.00,0.00,1000214290,,RB1
BG00013192,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำก,6930049708,RB15970716,2020-01-07,MR. PRAMOTE R.,01/2020,2020-04-06,1.00000,THB,43870.00,THB,43870.00,43870.00,0.00,0.00,0.00,0.00,1000214278,,RB1
BG00013229,บริษัท ซันโก้เคมิคอลส์ จำกัด,06536,RB15970717,2020-01-07,MR. SONGTHAM C.,01/2020,2020-04-06,1.00000,THB,229515.00,THB,229515.00,229515.00,0.00,0.00,0.00,0.00,1000214230,,RB1
BG00020281,บริษัท สหทัศน์ จำกัด,6301007,RB15970718,2020-01-07,NEW SALESMAN 2,01/2020,2020-03-07,1.00000,THB,154080.00,THB,154080.00,154080.00,0.00,0.00,0.00,0.00,1000214224,,
BG00012982,บริษัท นิปปอนเพนต์ (ประเทศไทย),2210082869,RB15970719,2020-01-07,Sathitpong Khongwanglam,01/2020,2020-05-06,1.00000,THB,149693.00,THB,149693.00,149693.00,0.00,0.00,0.00,0.00,1000213946,,RB1
BG00013834,บริษัท สิทธินนท์ เทรดดิ้ง (199,PO-63010132,RB15970720,2020-01-07,MS. KULASAB,01/2020,2020-03-07,1.00000,THB,34240.00,THB,34240.00,34240.00,0.00,0.00,0.00,0.00,1000213770,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,63/0011,RB15970722,2020-01-07,TAKDANAI Y.,01/2020,2020-03-07,1.00000,THB,98611.20,THB,98611.20,98611.20,0.00,0.00,0.00,0.00,1000214409,,RB1
BG00013327,บริษัท ยูนีค อินดัสเตรียล แพ็ค,PO63010004,RB15970724,2020-01-07,MR. PRAMOTE R.,01/2020,2020-03-07,1.00000,THB,72760.00,THB,72760.00,72760.00,0.00,0.00,0.00,0.00,1000214406,,
BG00013191,บริษัท อารีย์อภิรักษ์ จำกัด,-,RB15970725,2020-01-07,MR. PRAMOTE R.,01/2020,2020-03-07,1.00000,THB,88007.50,THB,88007.50,88007.50,0.00,0.00,0.00,0.00,1000214403,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300007,RB15970726,2020-01-07,MR. PRAMOTE R.,01/2020,2020-05-06,1.00000,THB,44940.00,THB,44940.00,44940.00,0.00,0.00,0.00,0.00,1000214431,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300006,RB15970727,2020-01-07,MR. PRAMOTE R.,01/2020,2020-05-06,1.00000,THB,47748.75,THB,47748.75,47748.75,0.00,0.00,0.00,0.00,1000214430,,RB1
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6300005,RB15970728,2020-01-07,MR. PRAMOTE R.,01/2020,2020-05-06,1.00000,THB,19126.25,THB,19126.25,19126.25,0.00,0.00,0.00,0.00,1000214429,,RB1
BG00012905,บริษัท สีเดลต้า จำกัด,OR256301/00021,RB15970729,2020-01-07,Sathitpong Khongwanglam,01/2020,2020-04-06,1.00000,THB,154080.00,THB,154080.00,154080.00,0.00,0.00,0.00,0.00,1000214424,,RB1
BG00012976,บริษัท นันยางการทอ อุตสาหกรรม ,C6300015,RB15970731,2020-01-07,MR. PRAMOTE R.,01/2020,2020-01-07,1.00000,THB,51064.68,THB,51064.68,0.00,51064.68,0.00,0.00,0.00,1000214470,,RB1
BG00012871,บริษัท อาควาบาธ จำกัด,PO:256212/0002,RB15970733,2020-01-07,MS. KULASAB,01/2020,2020-04-06,1.00000,THB,183612.00,THB,183612.00,183612.00,0.00,0.00,0.00,0.00,1000210963,,RB1
