Material,Material Description,Plant,UD code,Batch,Date of Manufacture,SLED/BBD,Created on,Inspection Lot,Short text for the characteristic,Original Value,Lower tolerance limit,Upper tol. limit,InfoField2
ENABM1000-BLK20000,BARIASTAR BM-1000,RB11,A,CL8012,21-11-18,20-05-19,30-11-18,40000055269,Appearance,A001,,,Visual Check
ENABM1000-BLK20000,BARIASTAR BM-1000,RB11,A,CL8012,21-11-18,20-05-19,30-11-18,40000055269,Non Volatile Content,20,19.0,21.0,1.5g./150oC/30min
ENABM1000-BLK20000,BARIASTAR BM-1000,RB11,A,CL8012,21-11-18,20-05-19,30-11-18,40000055269,Particle Size,0.332,0.300,0.500,UV-VIS Spectrophotom
ENABM1000-BLK20000,BARIASTAR BM-1000,RB11,A,CL8012,21-11-18,20-05-19,30-11-18,40000055269,pH,9.18,8.50,10.50,"25oC,pH Meter"
ENABM1000-BLK20000,BARIASTAR BM-1000,RB11,A,CL8012,21-11-18,20-05-19,30-11-18,40000055269,Viscosity,580,400.0,1000.0,"25oC,Viscometer"
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,A,CL8026,17-11-18,16-05-19,17-11-18,40000054830,Appearance,A001,,,Visual Check
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,A,CL8026,17-11-18,16-05-19,17-11-18,40000054830,Non Volatile Content,19.5,19.0,21.0,1.5g./150oC/30min
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,A,CL8026,17-11-18,16-05-19,17-11-18,40000054830,Particle Size,0.314,0.250,0.400,UV-VIS Spectrophotom
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,A,CL8026,17-11-18,16-05-19,17-11-18,40000054830,pH,9.04,8.50,10.50,"25oC,pH Meter"
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,A,CL8026,17-11-18,16-05-19,17-11-18,40000054830,Viscosity,384.0,100.0,800.0,"25oC,Viscometer"
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,D,CL8027,19-11-18,18-05-19,19-11-18,40000054875,Appearance,A001,,,Visual Check
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,D,CL8027,19-11-18,18-05-19,19-11-18,40000054875,Non Volatile Content,19.6,19.0,21.0,1.5g./150oC/30min
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,D,CL8027,19-11-18,18-05-19,19-11-18,40000054875,Particle Size,0.379,0.250,0.400,UV-VIS Spectrophotom
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,D,CL8027,19-11-18,18-05-19,19-11-18,40000054875,pH,9.16,8.50,10.50,"25oC,pH Meter"
ENABM100B-BLK02500,BARIASTAR BM-1000B,RB11,D,CL8027,19-11-18,18-05-19,19-11-18,40000054875,Viscosity,1026.0,100.0,800.0,"25oC,Viscometer"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8128,03-11-18,02-05-19,03-11-18,40000054256,Appearance,A004,,,Visual Check
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8128,03-11-18,02-05-19,03-11-18,40000054256,Non Volatile Content,15.6,15.0,16.0,1.5g./150oC/30min
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8128,03-11-18,02-05-19,03-11-18,40000054256,pH,5.48,5.00,6.50,"25oC,pH Meter"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8128,03-11-18,02-05-19,03-11-18,40000054256,Viscosity,29.8,10.0,50.0,"25oC,Viscometer"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8129,03-11-18,02-05-19,03-11-18,40000054260,Appearance,A004,,,Visual Check
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8129,03-11-18,02-05-19,03-11-18,40000054260,Non Volatile Content,15.6,15.0,16.0,1.5g./150oC/30min
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8129,03-11-18,02-05-19,03-11-18,40000054260,pH,5.40,5.00,6.50,"25oC,pH Meter"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8129,03-11-18,02-05-19,03-11-18,40000054260,Viscosity,27.8,10.0,50.0,"25oC,Viscometer"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8130,07-11-18,06-05-19,07-11-18,40000054400,Appearance,A004,,,Visual Check
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8130,07-11-18,06-05-19,07-11-18,40000054400,Non Volatile Content,15.5,15.0,16.0,1.5g./150oC/30min
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8130,07-11-18,06-05-19,07-11-18,40000054400,pH,5.28,5.00,6.50,"25oC,pH Meter"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8130,07-11-18,06-05-19,07-11-18,40000054400,Viscosity,28.6,10.0,50.0,"25oC,Viscometer"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8131,08-11-18,07-05-19,08-11-18,40000054446,Appearance,A004,,,Visual Check
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8131,08-11-18,07-05-19,08-11-18,40000054446,Non Volatile Content,15.4,15.0,16.0,1.5g./150oC/30min
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8131,08-11-18,07-05-19,08-11-18,40000054446,pH,5.38,5.00,6.50,"25oC,pH Meter"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8131,08-11-18,07-05-19,08-11-18,40000054446,Viscosity,33,10.0,50.0,"25oC,Viscometer"
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8132,08-11-18,07-05-19,08-11-18,40000054460,Appearance,A004,,,Visual Check
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8132,08-11-18,07-05-19,08-11-18,40000054460,Non Volatile Content,15.4,15.0,16.0,1.5g./150oC/30min
ENCH3150B-BLK01000,HOPELON-3150B,RB11,A,CL8132,08-11-18,07-05-19,08-11-18,40000054460,pH,5.32,5.00,6.50,"25oC,pH Meter"
