Sales Organization,Customer,Material,Counter,Customer Name,Customer Part Code,Customer Material Description,Master insp.charac.,Short text,Unit of measurement,Upper Limit,Lower Limit,Qualitative MIC Specifications,Method,Specification Print,Created by,Created on,Time,Changed by,Changed on,Time of change,Deletion Indicator,Update Flag,Valid from,Valid to,Created by Prog.,Changed by Program
RB00,BG00013090,ENFC20700-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA043,Non Volatile Content,%,66.5,63.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:47 AM,RB_SQ014,28-04-15,1:00:49 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFL20580-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,ALMATEX L2058(T),RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:47 AM,RB_SQ014,13-06-15,2:14:52 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFL20580-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,ALMATEX L2058(T),RBQL0006,Viscosity,,,,Z1-Z3+,JIS K5400,X,MNT_9326,27-02-15,11:16:47 AM,RB_SQ014,13-06-15,2:14:52 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFL20580-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,ALMATEX L2058(T),RBQNA029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:47 AM,RB_SQ001,03-12-15,3:09:17 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFL20580-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,ALMATEX L2058(T),RBQNA025,Acid Value,Km/g,2.5,0.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:48 AM,RB_SQ001,03-12-15,3:09:17 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFL20580-DR000200,5,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,ALMATEX L2058(T),RBQNA043,Non Volatile Content,%,51.5,48.5,,JIS K5407,X,MNT_9326,27-02-15,11:16:48 AM,RB_SQ001,03-12-15,3:09:17 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
RB00,BG00013090,ENFP64600-DR000200,1,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0002,Appearance,,,,Clear,Visual Check,X,MNT_9326,27-02-15,11:16:48 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENFP64600-DR000200,2,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQL0006,Viscosity,,,,W-Z,JIS K5400,X,MNT_9326,27-02-15,11:16:48 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENFP64600-DR000200,3,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQN0029,Color,G.No.,,,<3,JIS K5400,X,MNT_9326,27-02-15,11:16:48 AM,,,12:00:00 AM,,,,,ZPQM_F0002_COAUPDATE,
RB00,BG00013090,ENFP64600-DR000200,4,บริษัท สีไทยกันไซเพ้นท์ จำกัด,,,RBQNA025,Acid Value,Km/g,7,3,,JIS K5407,X,MNT_9326,27-02-15,11:16:49 AM,RB_SQ014,02-04-15,1:39:12 PM,,X,,,ZPQM_F0002_COAUPDATE,ZPQM_F0002_COAUPDATE
